cause,effect,sentence,source
liberalism,constitutional_periods,"In the Middle East, liberalism led to constitutional periods, like the Ottoman First and Second Constitutional Era and the Persian constitutional period, but it declined in the late 1930s due the growth and opposition of Islamism and pan-Arab nationalism.",wikipedia_sentence
crime,housing_projects,"Crime, drug usage, and educational underperformance are all widely associated with housing projects, particularly in urban areas.",wikipedia_sentence
crime,reducing_violence,"The Geneva Declaration on Armed Violence and Development highlights the role that states and civil society must play in preventing and reducing violence associated with war, crime, and social unrest.",wikipedia_sentence
pollution,near-universal_infertility,"The novel primarily takes place 16 years after the events that occurred during the establishment of Gilead, and depicts a grim picture of society, where pollution caused by nuclear and biological issues have caused near-universal infertility and a sharp rise in birth defects, where women are subjugated and valued only for their reproductive capacities, and where minorities of every stripe are persecuted.",wikipedia_sentence
pollution,sharp_rise_in_birth_defects,"The novel primarily takes place 16 years after the events that occurred during the establishment of Gilead, and depicts a grim picture of society, where pollution caused by nuclear and biological issues have caused near-universal infertility and a sharp rise in birth defects, where women are subjugated and valued only for their reproductive capacities, and where minorities of every stripe are persecuted.",wikipedia_sentence
socrates,cyrus_about_500_hoplites,Socrates brought Cyrus about 500 Hoplites.,wikipedia_sentence
crime,road_accident,"Total of 409 persons died because of various criminal cases (down from 424 in 2016), including 202 cases of death because of crime leading to  road accident.",wikipedia_sentence
capitalism,audience_indoctrinated_into_accepting_the_social_ideologies,An audience indoctrinated into accepting the social ideologies associated with capitalism and neoliberalism.,wikipedia_sentence
pollution,decreasing_population,"The habitat of the lined seahorse is diminishing due to coastal growth and pollution, which ultimately is the cause of the decreasing population.",wikipedia_sentence
sea_level_rise,drowning_of_the_forest,A forest can become submerged as the result of a lake or sea level rise that results in a  lacustrine or marine transgression and in place drowning of the forest.,wikipedia_sentence
sea_level_rise,marine_transgression,A forest can become submerged as the result of a lake or sea level rise that results in a  lacustrine or marine transgression and in place drowning of the forest.,wikipedia_sentence
pollution,commercial_vehicles,It has been constructed at a cost of  to relieve traffic congestion in the Faridabad - Ghaziabad stretch and also to prevent pollution causing commercial vehicles from entering Delhi.Government of India approved funding for the expressway in August 2015 on build-operate-transfer mode under NHDP Phase VI.,wikipedia_sentence
alcoholism,115_deaths,"The remaining 115 deaths were due to accidents (N = 16), suicide (N = 60), drug addiction (N = 29) or alcoholism (N = 10).",wikipedia_sentence
alcoholism,tremors_in_the_hands,"Alcoholism itself causes tremors in the hands and degeneration of the Purkinje cells and other parts of the cerebral cortex, counteracting alcohol's original corrective effects.",wikipedia_sentence
capitalism,externality,Some proponents of redistribution argue that capitalism results in an externality that creates unequal wealth distribution.,wikipedia_sentence
armenian_genocide,destruction_also_to_the_christian_syrians_who_lived_in_the_same_areas_of_the_armenians,"With the World War I arrived the catastrophe: the Armenian Genocide brought destruction also to the Christian Syrians who lived in the same areas of the Armenians, and the Syriac Catholic Church had the number of its members cut by half with five dioceses (on ten) and fifteen missions destroyed.",wikipedia_sentence
pollution,redress_harm,"It argues that existing law on poisoning and assault could provide precedents to redress harm caused by pollution, and for a reversal of the burden of proof in environmental cases.",wikipedia_sentence
terrorism,copper_mines_had_ceased_production,"There was little market reaction to the end of the strike as several other copper mines had ceased production due to bankruptcy, terrorism, weather or labour disruptions.",wikipedia_sentence
fascism,paintings_had_appeared_on_the_covers_of_magazines,"By that time, some of his paintings had appeared on the covers of magazines associated with fascism.",wikipedia_sentence
armenian_genocide,loss_of_the_oral_tradition,"The Armenian Genocide had led to the loss of the oral tradition, and, subsequently, to an incorrect ""Islamic"" attribution of the carpets by the majority of Western art historians.",wikipedia_sentence
terrorism,emergency_incidents,"All of these response activities are within the overall scope of the National Strategy for Homeland Security, whether emergency incidents are the result of terrorism or failure to respond may cause increased vulnerability to terrorism that may occur later.",wikipedia_sentence
plato,works_of_neoplatonism,Some works of neoplatonism were attributed to Plato or Aristotle.,wikipedia_sentence
slavery,people_who_were_non-christian_and_non-european,Slavery was associated with people who were non-Christian and non-European.,wikipedia_sentence
terrorism,5_july_riots,"Bekri further condemned the riots as ""premeditated and planned""; Eligen Imibakhi, chairman of the Standing Committee of the Xinjiang Regional People's Congress, blamed 5 July riots on ""extremism, separatism and terrorism"".",wikipedia_sentence
alcoholism,lesion_in_his_heart,"A heavy drinker, Lessa died in February 21, 1861, because of a lesion in his heart, caused by his alcoholism.",wikipedia_sentence
pollution,black_dust,"The pollution caused black dust or ash to contaminate the surrounding environment trees, plants, waterways and households.",wikipedia_sentence
prostitution,hiv_problem,She claimed that prostitution was a root cause of the HIV problem facing Rwanda.,wikipedia_sentence
pollution,risks_to_health,"For the three years 1977—1979, again because of the risks to health caused by pollution, the race was moved to an upstream stretch of the river near Chapelizod, finishing at the slipway of Dublin University Boat House, at Memorial Park, Islandbridge.",wikipedia_sentence
tax,employers_to_offer_workers_higher_(_taxable_)_cash_wages_instead_of_health_benefits,"The group has also stated that the tax will cause employers to offer workers higher (taxable) cash wages instead of health benefits, thus generating more government revenue.",wikipedia_sentence
world_war_i,devaluation_of_currency,"Despite these efforts, the Catalogue ceased publication in large part due to a devaluation of currency caused by World War I",wikipedia_sentence
crime,identity_theft,"The crime is often associated with identity theft, taking place in about one-third of identity theft cases.",wikipedia_sentence
capitalism,class_deprivation,Class deprivation is a result of capitalism.,wikipedia_sentence
crime,deaths_of_three_victims,The crime resulted in the deaths of three victims and in horrific injuries to the surviving two.,wikipedia_sentence
crime,horrific_injuries,The crime resulted in the deaths of three victims and in horrific injuries to the surviving two.,wikipedia_sentence
prison,abuse,"There are numerous allegations of abuse associated with the prison, including beatings, sleep deprivation and forcing inmates into stress positions.",wikipedia_sentence
oil_drilling,conditions_hazardous_to_the_area,"She is strongly opposed to oil drilling in Lofoten, arguing that oil drilling would lead to conditions hazardous to the area.",wikipedia_sentence
alcoholism,breakdown_of_the_relationship,"Rodenburg was married to a teacher at the Royal Central school of Speech and Drama, but his alcoholism led to the breakdown of the relationship.",wikipedia_sentence
tax,financial_sector,"The tax is associated with the financial sector and is a type of financial transaction tax, as opposed to a consumption tax paid by consumers, though the tax may be passed on by the financial institution to the customer.",wikipedia_sentence
terrorism,re-shuffling_coups,A 2015 study finds that terrorism is strongly associated with re-shuffling coups.,wikipedia_sentence
pollution,extensive_loss_of_habitat,This species is threatened by extensive loss of habitat caused by pollution and deforestation.,wikipedia_sentence
pornography,objectification_of_women,"According to FFP founder Page Mellish, pornography provides the training for incest, assault, and rape, results in the objectification of women, affects women's ability to get equal rights and equal pay and encourages men associate sex with violence.",wikipedia_sentence
alcoholism,divorce_between_the_grant_study_men_and_their_wives,Alcoholism was the main cause of divorce between the Grant Study men and their wives.,wikipedia_sentence
wikipedia,gradual_demise_of_nupedia,"Besides leading to discontinuation of the GNE project, Wikipedia also led to the gradual demise of Nupedia.",wikipedia_sentence
carl_jung,pioneering_stages_of_color_psychology,Carl Jung is most prominently associated with the pioneering stages of color psychology.,wikipedia_sentence
crime,serious_criticism_of_police_monitoring_of_offenders,"He was jailed for a minimum of 35 years in March 2010 and his crime has led to serious criticism of police monitoring of offenders, and of Facebook.",wikipedia_sentence
crime,facebook,"He was jailed for a minimum of 35 years in March 2010 and his crime has led to serious criticism of police monitoring of offenders, and of Facebook.",wikipedia_sentence
liberalism,wide_range_of_positions,"The pope's primary purpose was to obtain confirmation of the position he had taken in his Syllabus of Errors (1864), condemning a wide range of positions associated with rationalism, liberalism, and materialism, and to define the doctrine concerning the church.",wikipedia_sentence
pornography,profound_brain_changes,"On March 23, 2012, Santorum wrote on his campaign website that there is ""a wealth of research"" demonstrating that pornography causes ""profound brain changes"" and widespread negative effects on children and adults, including ""violence to women.""",wikipedia_sentence
liberalism,strong_a_champion_of_religious_causes,"He was an outspoken champion of political conservatism, delivering a prayer at the 1973 second term inauguration of President Richard Nixon, but just as strong a champion of religious causes sometimes associated with liberalism, such as the ordination of female rabbis.",wikipedia_sentence
crime,solutions_of_other_crimes,"Throughout the story, there are also some other smaller story lines and this crime eventually leads to the solutions of other crimes.",wikipedia_sentence
pollution,decay,"Much of the facing stone was imported from Caen in Normandy, but by the 1870s the majority of this stone was removed due to decay caused by pollution.",wikipedia_sentence
capitalism,democracy_and_peace,"Today at least four theories of capitalist peace can be identified, with some of these theories claiming that a capitalist peace may subsume the democratic one, given that capitalism may be the cause of both democracy and peace.",wikipedia_sentence
pollution,"1,000_deaths","At the time pollution was thought to cause 1,000 deaths and 35,000 hospitalizations per year.",wikipedia_sentence
alcoholism,close_'s_death,The coroner's report indicated that Close's death was due to alcoholism.,wikipedia_sentence
alcoholism,actions,"The Pros' inaugural season was also distracted by the actions and June 7, 1905 death of Pros' player William ""Peg"" Duval, due to alcoholism.",wikipedia_sentence
pollution,displacement_of_natural_marshland,"The development of the peninsula resulted in pollution, including  unprocessed factory waste, leading to Environmental degradation and the displacement of natural marshland and wetland.",wikipedia_sentence
pollution,dramatic_changes_in_climate,"Due to many of the dramatic changes in climate and stress caused by pollution, coral become more vulnerable to diseases.",wikipedia_sentence
terrorism,widespread_effects,"ICTP is today involved in the research and treatment of the widespread effects of trauma caused by terrorism, war and natural disaster.",wikipedia_sentence
crime,social_harm,"Braithwaite argues that restorative justice enables both offenders and citizens, by way of mediation, to repair the social harm caused by crime.",wikipedia_sentence
crime,manufacture_of_memorabilia,The notoriety of Wall led to the manufacture of memorabilia associated with his crime.,wikipedia_sentence
armenian_genocide,death_of_over_1.5_million_armenians,"By 1915, the war reached the Ottoman Empire and triggered the Armenian Genocide, which resulted in the death of over 1.5 million Armenians.",wikipedia_sentence
alcoholism,death_at_an_early_age,"Throughout his adult life he suffered from privation and alcoholism, which eventually contributed to his death at an early age.",wikipedia_sentence
capitalism,fading_of_the_original_puritan_``_spirit,"This is further seen in his criticism of ""specialists without spirit, hedonists without a heart"" that were developing in his opinion with the fading of the original Puritan ""spirit"" associated with capitalism.",wikipedia_sentence
plato,eighteen_epigrams,"Eighteen Epigrams are attributed to Plato, most of them considered spurious.",wikipedia_sentence
tax,controversy_among_the_business_community_of_regina,"The tax, which had caused much controversy among the business community of Regina, had been introduced prior to Archer becoming Mayor, and was replaced by persuading the then Government of Saskatchewan to make payments to all municipalities in the province to compensate for a lack of property taxes.",wikipedia_sentence
crime,death_sentence_in_the_state_of_texas,"The girl whose brutal rape and suspected murder led to capital murder charges, a crime which upon conviction, can lead to a death sentence in the state of Texas.",wikipedia_sentence
prostitution,annual_income,"""Between 1993 and 1995 it is estimated that prostitution produced an annual income between 22.5 and 27 billion dollars alone.""",wikipedia_sentence
sea_level_rise,irreparable_damage_to_freshwater_lenses,"Sea level rise will likely lead to sustained and possibly irreparable damage to freshwater lenses due to an increase in cyclone-generated wave washover, rendering many islands uninhabitable with the loss of potable water.",wikipedia_sentence
tax,storm_of_indignation,"The tax triggered a storm of indignation, and after a series complains to the king and regular riots, the Stril War, the tax was reduced and finally abolished in 1772.",wikipedia_sentence
terrorism,criminal_activity,Line-Officer Training\nFrontline law enforcement personnel are trained to recognize behavior and incidents that may indicate criminal activity associated with terrorism.,wikipedia_sentence
crime,intentionally_inflicted_injury,Intentionally inflicted injury or illness resulting from a crime or suicide.,wikipedia_sentence
pollution,extinction_debt,Pollution may also cause extinction debt by reducing a species' birth rate or increasing its death rate so that its population slowly declines.,wikipedia_sentence
pollution,harmful_health_implications,This pollution could potentially result in harmful health implications for fish and other wildlife.,wikipedia_sentence
pollution,negative_health_effects_in_humans,Pollution is associated with numerous negative health effects in humans.,wikipedia_sentence
pollution,soil_degradation_in_canada_'s_biologically_sensitive_forests,"Soil degradation in Canada's biologically sensitive forests as a result of pollution, is one of the most significant cases of degradation in the country.",wikipedia_sentence
fornication,unwanted_pregnancies,"In her brief contribution she described the liberating grace of God and the ""fallen nature"" of all people, and claimed that ""fornication, I would say, is probably the single most likely cause of unwanted pregnancies in this country"".",wikipedia_sentence
crime,bob_and_emmett_to_flee_the_state,"The boys were accused of the crime causing Bob and Emmett to flee the state, with a posse after them, while Grat and Bill were arrested.",wikipedia_sentence
censorship,"eventual_ban_from_all_state_run_television_and_radio_during_the_rule_of_by_then_the_pakistani_prime_minister_,_nawaz_sharif","Singles from the album, such as ""Talaash"", were politically influenced and became subject to censorship, which led to the eventual ban from all state run television and radio during the rule of by then the Pakistani Prime Minister, Nawaz Sharif.",wikipedia_sentence
terrorism,deporting_illegal_aliens,"Andrews was sponsoring a piece of legislation (H.R. 2184) on finding and deporting illegal aliens associated with terrorism, and wanted a legal opinion.",wikipedia_sentence
pollution,rise_in_cancer-related_mortality,The rise in cancer-related mortality is caused by pollution from illegal waste disposal by outside and Italian government-censored sources transported by the Camorra criminal organization.,wikipedia_sentence
sea_level_rise,natural_protection,"In addition to this, these coastal features are the coasts natural buffering system against storm waves; consistent coastal flooding and sea level rise can cause this natural protection to be reduced allowing waves to penetrate greater distances inland exacerbating erosion and furthering coastal flooding.",wikipedia_sentence
myspace,adoption_of_``_age_requirements,"One of the early privacy cases was in regards to MySpace, due to ""stalking of minors, bullying, and privacy issues"", which inevitably led to the adoption of ""age requirements and other safety measures"".",wikipedia_sentence
censorship,"eventual_ban_from_all_state_run_television_and_radio_during_the_rule_of_the_then_pakistani_prime_minister_,_nawaz_sharif","The song is politically influenced and became subject to censorship, which led to the eventual ban from all state run television and radio during the rule of the then Pakistani Prime Minister, Nawaz Sharif.",wikipedia_sentence
pollution,reduction_of_early_deaths,The saving reported here are mainly due to the estimated reduction of early deaths caused by pollution.,wikipedia_sentence
terrorism,increase_in_fatalities,"Just like armed conflict, there was an increase in fatalities associated with terrorism.",wikipedia_sentence
alcoholism,irreversible_damage,"According to an inquest into his death, alcoholism resulting from media interest in the phone hacking scandal caused irreversible damage to Hoare's liver.",wikipedia_sentence
terrorism,muslims,"The poll also showed that terrorism was associated with Muslims, with the words ""terror"", ""terrorist"" or ""terrorism"" chosen by 12% of respondents, ahead of other options like faith (11%), mosque (9%), Koran (8%) and religious (8%).",wikipedia_sentence
pollution,temperature_change_of_the_water,Pollution and siltation can cause temperature change of the water which will affect when the darter will spawn.,wikipedia_sentence
crime,deaths_of_an_elderly_couple,"During a bipolar episode, she committed a crime that led to the deaths of an elderly couple.",wikipedia_sentence
slavery,economical_transactions,"The Indian Slavery Act, 1843, also known as Act V of 1843, was an act passed in British India under East India Company rule, which outlawed many economical transactions associated with slavery.",wikipedia_sentence
pollution,death_in_the_world,"The report revealed that pollution is the largest environmental cause of death in the world, killing over 9 million people worldwide, threatening the ""continuing survival of human societies.""",wikipedia_sentence
crime,revolt,"He states that he tried to annihilate ""the race and name of the state of the Eburones"", for their ""crime"" which triggered the revolt, of having killed his lieutenants Quintus Titurius Sabinus and Lucius Aurunculeius Cotta when they demanded to be quartered amongst them for winter.",wikipedia_sentence
tax,"loss_of_7,000_oil_industry-related_jobs","He predicted the tax would result in the loss of 7,000 oil industry-related jobs and millions of dollars in unrealized tax receipts.",wikipedia_sentence
capitalism,building_'s_role_as_a_distribution_centre_for_literature,"The building's role as a distribution centre for literature associated with capitalism gave it an increasing importance that remained over the coming decades and led to frequent political discussions on the symbolism of the institution, which was financed exclusively by the American government.",wikipedia_sentence
crime,unsafe_neighborhoods,"Unsafe neighborhoods, due to crime, traffic, or other infrastructure problems, force residents indoors, discourage neighborhood connections and inhibit outdoor activities.",wikipedia_sentence
truth,forum_of_communication,"We believe that truth, commitment  and fairness in delivering our reports and stories will lead to a forum of communication where information can be shared and understood by everyone on every levels possible within our power.",wikipedia_sentence
terrorism,canadian_attitude_to_criminalizing_speech,The Canadian attitude to criminalizing speech associated with terrorism has so far been somewhat careful.,wikipedia_sentence
pollution,chemical_disturbance_in_the_water,"Following sustained protests by villagers in 2012 and 2013, the hydrology department of National Institute of Technology NIT conducted tests in the area and stated pollution had caused chemical disturbance in the water around the project site.The tests revealed high concentration of dissolved solids and unsafe alkaline levels in the water.",wikipedia_sentence
prostitution,early_pregnancies,"Eyle, as president of the League, campaigned for the rights of children, in particular in terms of exploitative labor and early pregnancies resulting from sexual abuse or prostitution.",wikipedia_sentence
censorship,blur_effect,"Added to that are several strange warnings, harmless and irrelevant alternative footage, additional scene in the shorter version, changes in running-speed and even a blur effect due to censorship.",wikipedia_sentence
capitalism,unfair_distribution_of_wealth,"Social inequality and unfair distribution of wealth, are often attributed to capitalism and a pure free market is built upon a principle of rewarding effort.",wikipedia_sentence
pollution,specific_effects,"“Crop fertilizers along with dairy cows, and various industrial chemicals like BPA” are increasingly seen as a source for pollution causing certain specific effects in those who consume them or products that are manufactured from them.",wikipedia_sentence
crime,serving_probation,This crime led to his serving probation for resisting an officer without violence.,wikipedia_sentence
pollution,effects_in_the_air_the_people_breathe_there,"Pollution causes many effects in the air the people breathe there, and since TB can be gained through air, the chances of TB remain high and in a consistent movement going uphill for India.",wikipedia_sentence
olympics,series_of_infrastructure_upgrades,"The Olympics led to a series of infrastructure upgrades, both to the venue and the community, which had a positive impact on local quality of life.",wikipedia_sentence
terrorism,pain_to_the_iraqi_people,"United Nations – The head of the United Nations Assistance Mission in Iraq (UNAMI) and United Nations Secretary-General Ban Ki-moon's Special Representative for Iraq Martin Kobler expressed his shock at the attacks and appealed to the government ""to address the root causes of the violence and terrorism that are causing so much suffering and pain to the Iraqi people"".",wikipedia_sentence
terrorism,suffering,"United Nations – The head of the United Nations Assistance Mission in Iraq (UNAMI) and United Nations Secretary-General Ban Ki-moon's Special Representative for Iraq Martin Kobler expressed his shock at the attacks and appealed to the government ""to address the root causes of the violence and terrorism that are causing so much suffering and pain to the Iraqi people"".",wikipedia_sentence
terrorism,head_injuries,"In addition, brain or head injuries can be caused by vehicular accidents, sports injuries, falls or accidents, war and terrorism, and related medical conditions (e.g., brain tumor, stroke).",wikipedia_sentence
sea_level_rise,change_of_state_from_freshwater_to_marine_or_estuarine_ecosystems,"“Sea level rise will cause a change of state from freshwater to marine or estuarine ecosystems, radically altering the composition of biotic communities"".",wikipedia_sentence
crime,street_based_prostitution,"In addition to co-editing this book, Westmarland also co-authored a Home Office report summarising research into issues surrounding street prostitution, such as how to reduce the number of people involved in prostitution, and how to reduce the crime that is associated with street based prostitution.",wikipedia_sentence
crime,exodus_of_residents_and_business_to_the_suburban_fringe,"In the late 1980s Brisbane’s inner-city areas were struggling with economic stagnation, urban decay and crime which resulted in an exodus of residents and business to the suburban fringe.",wikipedia_sentence
crime,outbreak_of_war_between_the_confederation_and_the_state_of_buenos_aires,But the crime contributed to the outbreak of war between the Confederation and the State of Buenos Aires.,wikipedia_sentence
energy_consumption,energy_savings,"Real-Time power management can be used to optimize the system or subsystems to minimize the energy consumption which may, for example, extend the battery lifetime of mobile devices or result in energy savings for Internet companies operating with many computer servers.",wikipedia_sentence
terrorism,collapse_of_the_peruvian_health_sector_in_the_1980s_and_1990s,"In the years since the collapse of the Peruvian health sector in the 1980s and 1990s that was the result of hyperinflation and terrorism, healthcare in Peru has made great strides.",wikipedia_sentence
human_evolution,variable_melanin_content_in_the_skin,This is the result of human evolution which contributed to variable melanin content in the skin to adapt to certain environments.,wikipedia_sentence
terrorism,fatalities,There are four factors counted in each country's yearly score:\n\n\n Total number of terrorist incidents in a given year\n Total number of fatalities caused by terrorism in a given year\n Total number of injuries caused by terrorism in a given year\n The approximate level of total property damage from terrorist incidents in a given year\n\nEach of the factors is weighted differently and a five-year weighted average is applied to importantly reflect the lingering psychological effect of terrorist acts over time.,wikipedia_sentence
pornography,overcoming_problems,"Maltz and her husband, Larry Maltz, coauthored a sexual recovery book entitled,The Porn Trap: The Essential Guide to Overcoming Problems Caused by Pornography, which describes serious porn-related problems, such as pornography addiction and intimate relationship concerns, and provides strategies and techniques for effectively addressing them.",wikipedia_sentence
alcoholism,numbers_already_in_decline,"With their numbers already in decline due to disease, alcoholism, intermarriage, and integration, the war was a demographic disaster for the Payaguá as well as other Paraguayans.",wikipedia_sentence
wikipedia,controversies,"Wikipediocracy contributors have investigated problems, conflicts, and controversies associated with Wikipedia, some being reported by mainstream media.",wikipedia_sentence
pornography,gender-based_violence,Garry was also one of the first philosophers to question whether pornography was a significant cause of gender-based violence.,wikipedia_sentence
sea_level_rise,migration_of_coastal_people_to_dhaka,"In low-lying, flood-prone, densely populated Bangladesh, sea level rise and the lengthening of the monsoon season, both caused by global warming, have already caused a migration of coastal people to Dhaka and other cities, and across the border into India, because they have lost their homes or livelihoods.",wikipedia_sentence
prenatal_care,stress,"Women must often be transported for prenatal care and delivery, which can cause stress for the mother.",wikipedia_sentence
pollution,declining_population_of_the_crisp_pillow_coral,"Other causes of the declining population of the crisp pillow coral are pollution, destructive fishing practices, human activity, and invasive species.",wikipedia_sentence
crime,poverty_decrease_behaviors,It follows that programs which elevate families out of poverty decrease behaviors associated with crime.,wikipedia_sentence
alcoholism,harriet_'s_malnourishment,"The defence, led by Edward George Clarke claimed that Harriet's malnourishment was due to alcoholism which led to her refusing to eat.",wikipedia_sentence
alcoholism,refusing_to_eat,"The defence, led by Edward George Clarke claimed that Harriet's malnourishment was due to alcoholism which led to her refusing to eat.",wikipedia_sentence
capitalism,oppression_in_the_world,The major cause of poverty and oppression in the world is capitalism.,wikipedia_sentence
liberalism,removal_in_1823,"His liberalism, however, led to his removal in 1823.",wikipedia_sentence
sea_level_rise,habitat_degradation,It is threatened by habitat degradation due to invasive plants (especially Cinnamomum verum) and sea level rise.,wikipedia_sentence
alcoholism,apoplexy,He died in 1882 of apoplexy caused by alcoholism,wikipedia_sentence
oil_drilling,underground_subsidence,The location was closed in late 1958 when underground subsidence caused by oil drilling left the facility unstable.,wikipedia_sentence
terrorism,crimes,"However, James Ziglar, President Bush's appointed INS commissioner, stated that nobody in the registry was ever charged and convicted of crimes associated with terrorism.",wikipedia_sentence
slavery,long_term_impacts,"Colonialism, slavery, war, and conquest have led to long term impacts globally but most of all in African and Asian nations.",wikipedia_sentence
alcoholism,breakdown_of_his_first_marriage_on_stress,"He was previously married to Amber O'Neill, with whom he has children; O'Neill blamed the breakdown of his first marriage on stress and alcoholism caused by his time in the military.",wikipedia_sentence
pollution,deterioration_of_the_health_of_population_in_an_8-mile_radius,Experts and newspaper reports opine that the deterioration of the health of  population in an 8-mile radius resulting from this pollution will be faster and visible than at any other place.,wikipedia_sentence
glyphosate,cancer_in_humans,"In July 2018, the federal court judge overseeing the cases ruled that the plaintiffs could proceed with their lawsuits, finding that a reasonable jury could conclude that glyphosate can cause cancer in humans.",wikipedia_sentence
crime,medical_data_breaches,Crime is the primary cause of medical data breaches.,wikipedia_sentence
crime,establishment_of_the_john_a._reisenbach_foundation,"That crime led to the establishment of The John A. Reisenbach Foundation, with a mission centered on improving safety and quality of life in New York City.",wikipedia_sentence
pollution,textiles_to_deteriorate,"Light, insects, micro-organisms and pollution can cause textiles to deteriorate; making it lose strength and pliability.",wikipedia_sentence
crime,abandonment,"The theory suggests that abandonment causes crime, rather than crime causing abandonment.",wikipedia_sentence
terrorism,unjustified_harm_to_human_and_civil_rights,"Commenting on a specific case, the Duma arson attack, in which a Palestinian family of 3 were killed, and for which a Jewish settler has been indicted, Smotrich stated that to brand such deeds as terrorism causes ""mortal and unjustified harm to human and civil rights"".",wikipedia_sentence
glyphosate,autism,"Seneff's claim that glyphosate is a major cause of autism and that, ""At today's rates, by 2025, half the kids born will be diagnosed with autism,"" has also been criticized.",wikipedia_sentence
glyphosate,adverse_development_outcomes,"For example, Pacific Standard noted that, contrary to Seneff's claims, many scientific reviews have found that the rise in autism rates over the past 20 years is due to changes in diagnostic practices, and that a number of studies, including a 2012 review in the Journal of Toxicology and Environmental Health, have found little evidence that glyphosate is associated with adverse development outcomes.",wikipedia_sentence
alcoholism,feed-forward_mechanism,This is yet another example of a feed-forward mechanism associated with alcoholism.,wikipedia_sentence
slavery,enslaved_people_from_africa_to_spanish_america,"Slavery, practiced since the early sixteenth century in Panama, brought many enslaved people from Africa to Spanish America.",wikipedia_sentence
alcoholism,strife_in_his_home_and_his_wife,"His alcoholism had caused much strife in his home and his wife, May, prays and pleads for him to stop drinking.",wikipedia_sentence
terrorism,security_threats,Dataveillance has also been useful in assessing security threats associated with terrorism.,wikipedia_sentence
fascism,fanatical_``_germanic_``_military_loyalty,"Used in this sense by Marxist commentators, the term describes a fanatical ""Germanic"" military loyalty associated with fascism and militarism.",wikipedia_sentence
terrorism,british_government_thinks_the_incident,The BBC reported that the British government thinks the incident was probably caused by terrorism based on intercepted transmissions between militants based in Sinai.,wikipedia_sentence
capitalism,crisis_for_working_people,"Manuel said that capitalism caused a crisis for working people including unemployment, police brutality, social service cuts, and union busting.",wikipedia_sentence
crime,healing_the_fractures_in_the_spiritual_and_social_order,"The gallows scene was a moment of public reconciliation and mutual forgiveness as well: the condemned participated actively in his execution, healing the fractures in the spiritual and social order caused by his sins and crime.",wikipedia_sentence
pollution,carbonate_layer,"Over centuries, pollution and humidity causes the carbonate layer to break down and sulfate, nitrate and chloride salts within the walls recrystallize, leading to deterioration of the painted surface.",wikipedia_sentence
prostitution,failure_of_many_jazz_clubs_from_the_1910s_through_the_1940s,"52nd St razed by housewreckers\n\nBill and Ruth knew that the failure of many jazz clubs from the 1910s through the 1940s can be attributed to bad management, mob connections, illegal speakeasies, gambling, drugs, prostitution and drunkenness.",wikipedia_sentence
alcoholism,break_from_her_work,"While in Hollywood, Griffin struggled at times with alcoholism, which resulted in a break from her work from 1948 until 1955.",wikipedia_sentence
pollution,supplying_water_to_these_areas_lay_down_gradient_from_the_two_contamination_plumes,Many of the wells responsible for supplying water to these areas lay down gradient from the two contamination plumes that resulted from the pollution.,wikipedia_sentence
alcoholism,incompetence,"Ann Haatrope (Ego Nnamani, and briefly Yomi Davies) returns to Lagos from America with her brother Richie (Bob-Manuel Udokwu) to discover the family's engineering and infrastructure business, Haatrope Investment, is on the brink of collapse due to older brother Benny's (Francis Agu) incompetence caused by alcoholism and sloth.",wikipedia_sentence
prostitution,women_’_s_imprisonment,"Women’s imprisonment is frequently attributed to drug addiction, prostitution, and retaliation to an abuser.",wikipedia_sentence
olympics,global_catastrophe,"He argued that the Olympics could result in a ""global catastrophe"" of Zika outbreaks, and asserted that it was ""socially irresponsible"" and ""ethically questionable"" to allow them to continue.",wikipedia_sentence
prostitution,leprosy,"Many leper houses were dedicated to Mary Magdalene because of the association between her and sexual excess and prostitution, which were incorrectly associated with leprosy.",wikipedia_sentence
crime,unprecedented_criticism_of_eta_in_its_basque_heartland,The crime caused outrage and led to unprecedented criticism of ETA in its Basque heartland.,wikipedia_sentence
crime,great_public_outcry,"Occurring during a period of religious persecution that began in April 2014, the crime caused a great public outcry.",wikipedia_sentence
sea_level_rise,modern_nuisance_flooding,"Due to changing geography such as subsidence, and poorly planned development, tidal flooding may exist separate from modern nuisance flooding associated with sea level rise and anthropocentric climate change.",wikipedia_sentence
oil_drilling,immense_environmental_impacts,"As the largest oil exporter in OPEC, Saudi Arabia contributes to the immense environmental impacts associated with oil drilling.",wikipedia_sentence
law_enforcement,u.s._trade_deficits,"One examines forms of ""trade abuse,"" taking a country-by-country as well as product and industry look over 90 days at cheating, law enforcement, and currency misalignment by foreign countries that causes U.S. trade deficits.",wikipedia_sentence
crime,rise_in_anti-refugee_sentiment_in_austria,The crime led to a rise in anti-refugee sentiment in Austria.,wikipedia_sentence
slavery,true_liberty,"Because of these benefits, Young argued that slavery brought the ""true liberty"" which God had designed.",wikipedia_sentence
censorship,low_cinematic_values,"For those of sexual scenes in movies are usually removed in chunks, and this censorship often causes low cinematic values with clumsiness and lacks completeness of movies.",wikipedia_sentence
